building_id,x,y,name
197,2089,2625,Discovery Hall F4
200,2115,962,Seventh College East: #1-6 B4
201,1970,942,Seventh College West: #1-8 B3 Sixth College
202,2217,1885,Arts & Humanities D4
203,2217,1847,Ridge Walk Academic Complex D4
204,2217,1809,Social Sciences Public Engagement D4
205,2177,1922,The Jeannie D4 Sixth College Housing
210,2447,1856,Cognitive Science Building D4
211,2321,1736,Communication Building D4
212,1879,1659,Extended Studies Complex: Buildings A-Z C3
213,2325,1917,Peterson Hall D4
214,2340,1844,Social Sciences Research Building D4
215,2415,1804,Solis Lecture Hall D4 Thurgood Marshall Housing
216,2172,1535,Marshall Upper Apartments: Grassroots to Movement C4
217,1916,1496,Marshall Residence Halls: Narrative to Solidarity C3 Warren
218,3125,1608,Atkinson Hall C5
220,3291,1685,Computer Science and Engineering Building D6
221,3286,1770,Engineering Building Unit II D6
222,3094,1485,Franklin Antonio Hall C5
223,3251,1846,Halicioğlu Data Science Institute D5
224,3039,1715,Jacobs Hall /Engineering Building Unit I D5
225,3084,1826,Powell Structural Systems Lab Expansion D5
226,3163,1710,Powell-Focht Bioengineering Hall D5
227,3409,1788,University Center 611 D6
228,3163,1854,Warren Lecture Hall D6
229,3312,1624,Warren Student Activity Center C6 Warren Housing
231,3400,1655,Black Apartments C6
232,3420,1581,Brennan Apartments C6
235,3372,1387,Frankfurter Hall C6
236,3228,1542,Goldberg Apartments C5
237,3451,1345,Harlan Hall C6
238,3439,1397,Stewart Hall C6 University Center
244,3112,2032,University Center 409 D5
245,3131,2241,University Center 965 E5
246,2742,2118,214 University Center E5
247,2770,2092,215 University Center D5
248,2650,2116,Career Services Center E4
249,2774,2165,Center Hall E5
